Mot (Nikkud),Dictionnaire,Sens (Attendu),Correct?,Meme exact?,Correction,Modele,Statut manuel,Note manuelle,Notes
אִיכָּא דְאָמְרֵי,אִיכָּא דְאָמְרֵי - יֵשׁ אוֹמְרִים,il y en a qui disent (autrement),✓,-,-,openai/gpt-oss-120b,,,"אִיכָּא = adverbe d'existence, dְאָמְרֵי = locution signifiant « il y en a qui disent », la vocalisation correspond aux sources talmudiques."
אִיכַּסִּיף,אִיכַּסִּיף - נִתְבַּיֵּשׁ,il a eu honte,✗,false,אִיכְּסִיף,,,,"Le nikkud correct est אִיכְּסִיף : hiriq sous aleph, dagesh au kaf suivi d’un shva, pas de dagesh au ס et pas de patach. Le student a mis patach et dagesh sur ס, ce qui est erroné."
אִילֵימָא,אִילֵימָא - אִם נֹאמַר,si tu dis,✓,-,-,,,,"Vocalisation correcte pour le sens si tu dis, forme araméenne אִילֵימָא"
אֵימָא,אִימָּא - הָאֵם; אֵם; אִמִּי,tu n'as qu'à dire,✗,false,אִימָּא,,,,"Le mot araméen «אִימָּא» signifie «tu n’as qu’à dire»; la vocalisation correcte est hiriq sous aleph, dagesh dans le mem et kamatz sous le mem"
אִימָּא,אִימָּא - הָאֵם; אֵם; אִמִּי,la mère de,✓,-,-,,,,"Forme אִימָּא avec hiriq sous aleph, dagesh et kamatz sous mem correspond au sens «la mère de» d'après le dictionnaire; la variante avec tzere (אֵימָא) existe mais n'est pas requise ici"
אִין,אִין - אין; הֵן; כֵּן,oui/ on ne ... pas (forme de négation),✓,-,-,,,,Vocalisation correcte pour le sens négatif araméen «אין»
אִין הָכִי נַמֵּי,אִין הָכִי נַמֵּי - הֵן כַּךְ הוּא,effectivement,✗,false,אִין הָכִי נָמֵי,openai/gpt-oss-120b,,,"Le nikkud correct est nun kamatz, mem sans dagesh, tzéré; la forme signifie «effectivement»."
אִינִי,אִינִי - כַּךְ הִיא?,vraiment?!,✓,-,-,,,,"אִינִי (aleph + hiriq, nun + hiriq, yod) est la particule araméenne signifiant « vraiment ? », distincte de אִינִּי « je suis ». Aucun des passages cités n’utilise cette forme avec ce sens."
אֵינִי,אִינִי - כַּךְ הִיא?,je ne ... pas,✓,-,-,,,,"«אֵינִי» est la forme araméenne attestée signifiant «je ne suis pas», le segol sous aleph est fréquent dans la Guemara (Berakhot d'א)."
אֱינִישׁ,אֱינִישׁ - אָדָם,un homme/une personne,✗,false,אִינִישׁ,,need_more_sources,,"Le mot araméen «אִינִישׁ» s’écrit avec un hiriq sous l’alef, pas un hataf segol ; la forme donnée «אֱינִישׁ» est donc incorrecte."
אֱינָשֵׁי,אֱינָשֵׁי - בְּנֵי אָדָם,les gens,✗,false,אִינְשֵׁי,,,,"Le mot araméen « אִינְשֵׁי » (people) s’écrit avec hiriq sous aleph, shva sous nun et tzéré sous shin ; la forme donnée « אֱינָשֵׁי » utilise un segol et un kamatz incorrects."
אִיסּוּרָא,אִיסּוּרָא - אִסּוּר,un interdit/nom d'un sage/nom petite pièce de bronze,✓,-,-,,,,"Vocalisation correcte : aleph avec hiriq, samekh avec dagesh et shuruk, resh avec kamatz, correspond à « איסורא » signifiant interdiction ou nom propre."
אִיפְּכָא,אִיפְּכָא - הֵפֶךְ; חִלּוּף,l'inverse,✓,-,-,,,,"Vocalisation correcte pour le sens « l'inverse » (héfékh, retournement)"
אִיפְּכָא מִסְתַּבְּרָא,אִיפְּכָא מִסְתַּבְּרָא - מִסְתַּבֵּר חִלּוּף,c'est l'inverse qui est logique,✓,-,-,openai/gpt-oss-120b,,,"Nikkud correct : אִיפְּכָא מִסְתַּבְּרָא correspond à l'expression idiomatique « c’est l’inverse qui est logique », avec hiriq, shva, dagesh et kamatz correctement placés."
אִיתָא,אִיתָא - יֶשְנָהּ,il y a,✓,-,-,,,,"Vocalisation correcte : aleph avec hiriq, tav avec kamatz, correspondant au sens « il y a » en araméen babylonien."
אִיתַּמּר,אִיתַּמַּר - הוּמַר,il a été dit,✗,false,אִיתְּמַר,,,,"Le verbe araméen 'אמר' au parfait 3ms s’écrit אִתְּמַר avec shva sous le tav et patach sous le mem, signifiant « il a été dit »."
אִיתְּתָא,אִיתְּתָא - אִשָּה,une femme,✓,-,-,,,,"Vocalisation conforme au dictionnaire et aux occurrences talmudiques, avec hiriq sous א, shva sous תּ, kamatz sous תָא, indiquant le sens « femme »."
אִכַּסִּיף,אִכַּסִּיף - נִתְבַּיֵּשׁ,il a eu honte,✗,false,אִכְּסִיף,,,,"Le verbe araméen «אִכְּסִיף» (être honteux) s’écrit avec sheva sous le kaf et sans dagesh au samekh, comme le montrent les citations talmudiques."
אַל תִּקְרֵי,אל תתרגם - אל תתרגם,"ne lis pas (ainsi..., mais..)",✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte : אַל תִקְרֵי (impératif négatif féminin)
אִלָּא,אלא - אלא,seulement,✓,-,-,,,,"אִלָּא est la forme araméenne signifiant « seulement » avec hiriq sous aleph initial et kamatz sous le לּ, conforme aux règles de vocalisation."
אלוּ,אַלְוָא - אַלְוָא (מין עשב מר כלענה),voici,✗,false,אֵלּוּ,,,,"Le mot araméen 'אלו' signifiant «voici» se vocalise habituellement 'אֵלּוּ' (segol sous aleph, dagesh dans ל, shuruk sous ו)."
אֵלּוּ,אַלְוָא - אַלְוָא (מין עשב מר כלענה),ceux-là,✓,-,-,,,,"אֵלּוּ est la forme démonstrative «ceux‑là» avec segol sous א, dagesh au ל et shuruk au ו, conforme à l’usage talmudique"
אַלִּיבָּא,אַלִּיבָּא - לְדַעַת (=על לב),selon,✓,-,-,,,,Vocalisation correcte pour le sens 'selon' (araméen aliba).
אַלְמָא,אַלְמָא - הֲרֵי שׁ,donc,✓,-,-,,,,"Vocalisation correcte : אַלְמָא (patach, shva, kamatz) correspond à la conjonction « donc » en araméen babylonien."
אַלָּמָה,אַלָּמָה - לָמָּה,alors pourquoi,✗,false,אַלְּמָה,,,,"Le mot araméen « אלמא » (alors pourquoi) s’écrit avec patach sous aleph, dagesh + sheva sous le lamed, kamatz sous le mem et le heh."
אִלְמָלֵא,,s'il n'y avait pas eu...,✓,-,-,,,,"Vocalisation conforme à l’usage araméen du terme « אִלְמָלֵא » signifiant « si ce n’était pas », avec hiriq sous א, sheva sous ל, kamatz sous מ, segol sous ל"
אִלְמָלֵי,,sil y avait eu,✗,false,אָמַר קְרָא,,,,"Le verbe araméen אמר se vocalise habituellement אָמַר ; le hataf pataḥ (אֲ) est inapproprié ici, il faut kamatz (אָ)."
אִם כֵּן,אִם כֵּן מַאי אַסָהֲדוּתֵיהּ - אִם כֵּן מַה (הוֹעִילָה) הַעְדָּאָתוֹ (=עֵדוּתוֹ),si c'est ainsi,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : אִם avec hiriq, mem avec sheva, כֵּן avec dagesh, tzere, nun, correspondant au sens « si c’est ainsi »."
אִם תִּמְצָא לוֹמַר,אִם אִיתָא (שבת נט ב)   - אִם יֶשְׁנָהּ,Si tu vas dire (répondre),✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme à l'usage talmudique : אם avec hiriq, תמצא au futur masculin singulier, ולומר avec cholam et patach."
אַמַּאי,אַמַּאי - לָמָּה,pourquoi,✓,-,-,,,,Vocalisation conforme à la forme araméenne standard « אַמַּאי » signifiant « pourquoi »
אֲמַר לֵיהּ,אֲמַר - אָמַר,il lui a dit,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme à l'araméen babylonien : אמר = אֲמַר, ליה = לֵיהּ, signifiant « il lui a dit »."
אֲמַר מַר,אֲמַר מַר - אָמַר מַר (פתיחה להבאה ממשנה או ברייתא או מדברי אמורא),notre maître a dit/rav (intel) a dit,✗,false,אָמַר מַר,openai/gpt-oss-120b,,,En araméen babylonien le verbe «אמר» s’écrit vocalisé אָמַר (qamatz sous א) ; la forme avec shva (אֲמַר) est incorrecte pour le sens «le maître a dit».
אֲמַר קְרָא,אֲמַר קְרָא - אָמַר הַכָּתוּב,le verset a dit,✓,-,-,openai/gpt-oss-120b,,,Nikkud correct: אֲמַר קְרָא correspond à 'le verset a dit'.
אָמְרִי,אֲמַרִי - אָמַרְתִּי,on a dit,✗,false,אֲמַרִי,,,,"Le verbe araméen «אמרי» signifiant «on a dit» se vocalise «אֲמַרִי» (sheva sous א, patach sous מ, chirik sous ר). La forme «אָמְרִי» est incorrecte."
אַמָּה,אִמָּהָתָא - אִמָּהוֹת,1 servante,✗,false,אִמָּה,,,,"Le mot araméen «אִמָּה» signifie «servante»; la vocalisation correcte est hiriq sous aleph, pas patach."
אַמָּה,אִמָּהָתָא - אִמָּהוֹת,1 coudée,✓,-,-,,,,"Nikkud correct pour ""her mother"" : aleph hiriq, mem dagesh avec kamatz, heh mappiq, correspondant au sens ""sa mère""."
אִמָּהּ,אִמָּהָתָא - אִמָּהוֹת,sa mère,✓,-,-,,,,"Nikkud correct : aleph with hiriq, mem with dagesh, kamatz, final heh with mappiq, correspondant à « sa mère »."
אֲנָא,אֲנָא - אֲנִי,moi/je,✓,-,-,,,,Vocalisation correcte : אֲנָא signifie « je » en araméen babylonien.
אֲנַן,אֲנַן - אָנוּ,nous/1er forme du pluriel,✓,-,-,,,,Vocalisation correcte du pronom araméen « אנן » signifiant « nous ».
אָסוּר,אַסוּר - אסור; קָשְׁרוּ,interdit,✓,-,-,,,,"Vocalisation correcte : aleph kamatz, samekh sans dagesh, vav shur, resh sans voyelle."
אַסוּר,אַסוּר - אסור; קָשְׁרוּ,lié,✓,-,-,,,,"Nikkud correct : aleph avec patach, vav avec shuruk, forme araméenne participiale signifiant « lié »."
אָסוּר,אַסוּר - אסור; קָשְׁרוּ,je me détourne,✗,false,אַסוּר,,,,"Le verbe araméen אסור « se détourner » se vocalise avec patach sous א (אַסוּר), pas kamatz (אָסוּר)."
אַף,אף על - אף על,même/colère/le nez/ange maléfique,✓,-,-,,,,"Le nikkud patach sous א et absence de voyelle sur פ correspond à la forme araméenne «אַף» signifiant «même, même si, le nez», conforme au sens visé."
אַף עַל גַּב,אַף עַל גַּב - אַף עַל פִּי,bien que,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte pour l'expression idiomatique "אַף עַל גַּב" signifiant "bien que"
אַף עַל פִּי,אף על - אף על,bien que,✓,-,-,openai/gpt-oss-120b,,,Vocalisation conforme à l'usage hébreu/araméen pour la locution signifiant « bien que »
אַף עַל פִּי כֵן,אף על - אף על,malgré cela,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme aux occurrences talmudiques, signifiant «malgré cela»."
אֲפִילּוּ,אַפִּילוּ (חולין נט ב)   - אפילו; הִפִּילוּ,même,✗,false,אֲפִילוּ,,,,"Le mot araméen «אפילו» s’écrit avec shva sous aleph, hiriq sous פ, et shuruk sous ל, sans dagesh; la forme donnée correspond au sens «même»."
אֲפַכוּהּ,אֲפַכוּהּ (גיטין לה א)   - הִפְכוּהוּ; הֲפָכוּהוּ,ils ont inversé (l’enseignement),✗,false,אַפְכוּהָ,,,,"L'aleph porte un patach, le pe un sheva, le kaf avec dagesh et shuruk, le he final un kamatz (forme verbale « ils ont inversé »)."
אֶפְשָׁר,,c'est possible/est-ce possible que…,✗,false,אִפְשָׁר,,,,Le mot araméen « אפשר » s’écrit avec un hiriq sous l’alef (אִ) et non un segol (אֶ) ; il signifie « c’est possible » dans le Talmud babylonien.
אֵצֶל,אַצְּלָה (עבודה זרה מא ב)   - הִצִּילָה,chez/auprès de,✓,-,-,,,,"Forme araméenne 'אצל' signifiant 'près de' se vocalise habituellement אֵצֶל dans le Talmud babylonien, conforme aux citations"
אַרְבַּע,אַרְבַּע מְאָה - אַרְבַּע מֵאוֹת,quatre,✓,-,-,,,,"Vocalisation correcte : aleph avec patach, resh avec sheva, bet avec dagesh et patach, ayin muet, correspondant au sens « quatre » en araméen"
אַרְעָא,אַרְעָא - אֶרֶץ; קַרְקַע,une terre/la terre,✓,-,-,,,,Vocalisation correcte pour le sens 'terre' (אַרְעָא).
אַשְׁמוֹעִינַן,,on nous a fait entendre (appris),✗,false,אַשְׁמוֹעִינַן,,,,"Le shin porte un dagesh dans cette forme araméenne (אַשְׁמוֹעִינַן) ; la vocalisation est patach‑א, sheva‑שׁ, holam‑ו, hiriq‑ע, patach‑נ, correspondant au sens « on nous a fait entendre »."
אֲתָא,אֲתָא - בָּא,il est venu,✓,-,-,,,,"Vocalisation correcte : aleph avec sheva, tav avec kamatz, aleph final sans nikkud, correspondant au sens « il est venu »."
אֲתוּ לְקַמֵּיהּ,אֱתוֹ - בּוֹאוּ,ils sont venus devant (intel/lui),✗,false,אֲתוֹ לְקַמֵּיהּ,openai/gpt-oss-120b,,,"Le nikkud correct est אֲתוֹ (patach sous aleph, holam sous tav) et le dagesh doit précéder le segol dans קַמֵּיהּ"
אַתְיָא,אָתְיָא - בָּאָה,on l'apprend/on l'amène/il est venu,✗,false,אָתְיָא,,,,"Le aleph porte un kamatz (אָ) et non un patach (אַ) dans le verbe araméen « אתיא » signifiant « il est venu », comme le montrent les occurrences talmudiques."
אִתְּמַר,אִתְּמַר - נֶאֱמַר,il a été dit,✓,-,-,,,,"Vocalisation correcte : aleph avec hiriq, tav avec dagesh, shva, mem avec patach, resh, correspondant à « il a été dit » en araméen."
אַתְרָא,אַתְרָא - מָקוֹם,un endroit,✓,-,-,,,,"Vocalisation correcte : אַתְרָא correspond à « מקום », confirmé par le dictionnaire et les occurrences du Talmud."
בְּהָא,,dans ça,✓,-,-,,,,"Correct: בְּהָא = 'in this' (sheva under bet, kamatz under he, aleph silent) correspond au sens français 'dans ça'."
בְּהֶדְיָא,בְּהֶדְיָא - בְּפֵרוּשׁ; בְּגָלוּי,clairement/explicitement,✓,-,-,,,,"Vocalisation correcte : בְּהֶדְיָא signifie « explicitement », conforme au dictionnaire et aux occurrences du Talmud."
בֵּית הַכִּסֵּא,בִּית (עירובין נב א)   - לִין,des toilettes,✓,-,-,qwen/qwen3-32b,,,La vocalisation étudiante correspond exactement aux occurrences dans la Guemara (בֵּית הַכִּסֵּא) pour le sens de 'toilettes'.
בַּמֶּה דְּבָרִים אֲמוּרִים,,de quel cas s’agit-il,✓,-,-,openai/gpt-oss-120b,,,"Le nikkud correspond à la forme araméenne «בַּמֶּה דְּבָרִים אֲמוּרִים», qui signifie «de quel cas s’agit‑il»."
בְּמַאי עֲסִיקִינַן,בְּמַאי - בַּמֶּה,de quoi on s’occupe (on parle),✗,false,בְּמַאי עֲסִיקִינָן,openai/gpt-oss-120b,,,Le mot «עסיקינן» se vocalise avec kamatz sous le נ final (…ִינָן) et non patach ; la forme donnée corrige ce point tout en conservant les consonnes.
בְּעֵי,בְּעֵי (בבא קמא נט ב)   - שְׁאַל,Il a demandé,✓,-,-,,,,"Le nikkud בְּעֵי (sheva sous le bet, tzéré sous l'ayin) correspond au verbe 'שאל' signifiant 'il a demandé'"
בְּעַי,בְּעֵי (בבא קמא נט ב)   - שְׁאַל,il veut,✗,false,בְּעֵי,,,,"Le verbe araméen «בְּעֵי» signifie «il veut»; la vocalisation correcte est sheva sous le bet et tzéré sous lʿayin, pas patach."
בָּעֵי,בְּעֵי (בבא קמא נט ב)   - שְׁאַל,il a besoin,✗,false,בְּעֵי,,,,"Le verbe araméen «בְּעֵי» signifie «il a besoin» ; il s’écrit avec un sheva sous le bet, pas un kamatz."
בְּעִי מִינֵּיהּ,בְּעֵי (בבא קמא נט ב)   - שְׁאַל,on lui a demandé,✗,false,בְּעֵי מִינֵּיהּ,openai/gpt-oss-120b,,,"Le mot בְּעֵי s’écrit avec tzéré sous עין; la forme donnée utilise hiriq, donc incorrecte pour le sens «on lui a demandé»."
בְּעִידָּנָא,,au moment,✓,-,-,,,,"Le nikkud בְּעִדָּנָא (b'iddāna) correspond bien au sens « au moment », dagesh sur ב et ד indique la consonne forte, shva et hiriq corrects."
בַּעַל,בְּעַל (כתובות ו ב)   - בָּעַל,le propriétaire/mari/il a eu une relation,✗,false,בְּעַל,,,,En araméen babylonien le mot בעל se vocalise généralement avec sheva sous le bet (בְּעַל) pour le sens de propriétaire/mari.
בְּעָלְמָא,בְּעָלְמָא הָדֵין (קידושין פא א)   - בָּעוֹלָם הַזֶּה,simplement/en général,✓,-,-,,,,"Vocalisation conforme à l’usage araméen «בְּעָלְמָא» = «dans le monde, généralement», dagueh, sheva et kamatz correctement placés"
בַּר,בַּר - בֵּן; רְשׁוּת; חוּץ,fils delà l'extérieur,✓,-,-,,,,"Le nikkud בַּר (bet avec dagesh, patach, resh) correspond au sens «fils» en araméen, usage confirmé dans les passages cités."
בְּרֵיהּ,בְּרֵיהּ - בְּנוֹ,son fils/fils de,✓,-,-,,,,"Vocalisation correcte, correspond à « son fils » en araméen"
בִּשְׁלָמָא,בִּשְׁלָמָא - בְּשָׁלוֹם,ça va bien (dans ce cas/selon),✓,-,-,,,,"Vocalisation correcte : בִּשְׁלָמָא (bet dagesh + chirik, shin shva, lamed kamatz, aleph) correspond à l'araméen « b'shlama » = « ça va bien, en paix »."
בָּתְרָא,בָּתְרָא - אַחֲרוֹן,dernier,✓,-,-,,,,"Le nikkud בָּתְרָא (dagesh au bet, patach, shva, kamatz) correspond bien au sens « dernier » tel que indiqué dans le dictionnaire et les passages cités."
גַּבְרָא,גַּבְרָא - אִישׁ,un homme/mari,✓,-,-,,,,Vocalisation correcte pour le sens « homme/mari » en araméen babylonien.
גּוּפָא,גּוּפָא - גוּף; עַצְמָהּ; גּוּפַהּ,on reprend un enseignement déjà-dit/elle-même/soi-même/corps/essence de,✓,-,-,,,,"Le dagesh sur גּ, le shuruk sur וּ et le kamatz sur פָ sont corrects pour le sens «corps, essence» en araméen babylonien."
גְּזַלַן,גְּזַלַן (ראש השנה כו ב)   - גְּזָלַנִי,un voleur (qui vole publiquement),✓,-,-,,,,"Vocalisation correcte : גְּזַלַן avec dagesh, sheva et patach, correspondant au sens « voleur public »."
גְּזֵירָה,,un décret,✓,-,-,,,,"Vocalisation conforme aux éditions du Talmud (gimel dagesh, sheva, tzere, kamatz) pour le sens « décret »."
גְּזֵרָה,,un décret,✓,-,-,,,,"La vocalisation «גְּזֵרָה» (gimel dagesh, sheva, zayin tzere, resh kamatz, he) correspond bien à l'araméen «gzeirah» signifiant «décret»."
גָּזְרָה,,elle a coupé,✗,false,גְּזֵרָה,,,,"Le verbe araméen 'גזיר' au passé féminin singulier s’écrit גְּזֵרָה (sheva sous גּ, tzéré sous ז, kamatz sous ר)."
גִּילוּי מִילְּתָא,גִּילוּי מִילְּתָא - גִּלּוּי דָּבָר,un dévoilement,✗,false,גִּילּוּי מִילְּתָא,openai/gpt-oss-120b,,,"Le premier mot nécessite un dagesh dans ל (גִּילּוּי) comme le montrent le dictionnaire et les citations du Talmud, sinon la vocalisation est incorrecte."
גְּמִירִי,גְּמִירִי - לְמֵדִים,on a appris/on a reçu comme loi,✓,-,-,,,,"Le mot גְּמִירִי se vocalise avec dagesh et shva sur ג, hiriq sur מ et ר, correspondant au sens «on a appris/on a reçu comme loi» tel qu attesté dans les passages cités."
גָּמַר,גְּמַר - נִגְמַר; גָּמַר; לָמַד,(il) apprend/fin de,✓,-,-,,,,"גָּמַר avec kamatz indique le verbe araméen « apprendre », correspondant au sens français visé"
גְּנַב,גְּנַב - גָּנַב,un voleur (qui vole en cachette),✗,false,גָּנַב,,,,"Le mot araméen «גָּנַב» se vocalise avec kamatz sous le gimel, pas sheva; il signifie «voleur»."
