Arameen word,French meaning
דִּילְמָא,peut-être/de peur que
דַּיְקָא נָמֵי,on peut également déduire
דְּכּוּלֵּי עָלְמָא,car (que) tout le monde
דִּכְתִיב,comme il est écrit/qu'il est écrit
דִּלְמָא,peut-être/de peur que
דָּמֵי,(il) ressemble
דְּמֵי,la valeur/les sous
דְרַבֵּיהּ,de son maître
דְרַבָּנָן,(loi) de nos sages/car les sages...
דָּרוֹם,sud
דְרָמֵי אַהֲדָדֵי,qui posent une contradiction
דְּרַשׁ,il a enseigné
דָּרְשִׁי,ils ont enseigné
דָּרְשִׁינַן,on apprend (du verset)
הֲוָה,forme du passé (au singulier)
הֲוָה אָמֵינָא,j'aurais pu dire (penser)
הֲווֹ,forme du passé (au pluriel)
הָוְיָא,c'est
הֵיכָא,où/la où
הֵיכִי,quand/comment
הֵיכִי דָמֵי,de quoi s'agit-il/quel est le cas
הִילְכְתָא,halakha/loi donnée à Moché rabbénou au Mont Sinaï
הָכָא,ici
הָכָא בְּמַאי עֲסִיקִינַן,ici de quoi parle-t-on
הָכָא כְּתִיב,ici il est écrit
הָכָא מֵעִנְיָינֵיהּ דִּקְרָא,ici on va selon le sujet du verset
הָכִי - אִין הָכִי נַמֵּי/הָכִי נַמֵּי,ainsi/voir aussi
הָכִי אִתְּמַר,ainsi il a été dit 
הָכִי נַמֵּי,effectivement/de cette même façon
הָכִי קָאָמַר,ainsi il a été dit 
הָכִי קָאָמְרִינַן,ainsi on a voulu dire
הִלְכְתָא,loi donnée a Moché au mont Sinai/halakha
הָנֵי - הָנֵי מִילֵּי,ceux-là/ces/voir aussi
הָנֵי מִילֵּי,il s'agit uniquement
הָנִיחָא,ça va bien (dans ce cas/selon)
הָנָךְ,ceux-là
הֵעִיד,il a témoigné
הָשָׁתָא,maintenant/si déjà
הָתָם,là-bas
וְאִי,et si/or si/et ce n'est pas
וְאִי לְדִידָךְ,et (or) si selon toi
וְאִידָךְ,et l'autre
וַאֲפִילּוּ,et même
וְגוֹ',etc.
וַדַּאי,il est évident/cas où l'on est sûr
וְהָא,or pourtant/et celui-la/et ça
וְהָא אֲנַן,or pourtant nous...
וְהָכְתִיב,or pourtant il est écrit (dans un verset)
וְהַלֹּא,et (or) pourtant
וְהָתַנְיָא,et pourtant (/effectivement) il y a une braïta ainsi 
וְהָתְנַן,et pourtant (/effectivement) il y a une michna ainsi
וְכוּ',etc.
וְכִי תֵימָא,et si tu dis/et si tu essayes de répondre
וְכֵיוָן,et puisque
וְכַמָּה,et combien
וְלָא מִידֵי,et rien du tout
וּלְטַעְמָךְ,et d'après toi
וְלִיטַעְמָ(י)ךְ,et d'après toi
וְלֵימָא,(et) tu n'as qu'à dire
וְלִיפְרוֹךְ,(et) on n'a qu'à objecter...
וְלִיתְנֵי,(et) on n'a qu'à enseigner
וְלִפְרוֹךְ,(et) on n'a qu'à objecter...
וּמוֹדֶה,et il est d'accord
וּמָטוּ,et certains penchent (à dire)
וּמִי מָצֵית אָמְרַתְּ הָכִי,est-ce que tu peux dire ainsi
וּצְרִיכָא,et on a eu besoin
וְקָסָבַר,et il pense
וְרָמֵי,et il objecte/Rami est aussi le Nom d'un rav
וּרְמִינְהוּ,et on objecte
וְשָׁוִין,et ils sont d'accord (dans...)
וְשָׁמְעִינַן,et on nous a fait entendre
וְתוּ לָא מִידֵּי,et il n'y a rien (à dire) en plus
וְתוּ לֵיכָּא,est-ce qu'il n'y a pas (d'autres cas)
וְתִיפּוֹק לֵיהּ,pourquoi tu n'apprends pas d’ici
זִימְנָא,une fois
זִימְנָא חֲדָא,une fois
זִימְנִין סַגִּיאִין,de nombreuses fois
זָקֵן,homme âgé/sage
זָקָן,barbe
חַד,un/une/aiguisé/piquant
חַד אֲמַר,un (des avis) a dit
חֲדָא,un/une/premièrement
חֲדָא זִימְנָא,une fois
חַדְתָּא,nouveau
חַדְתֵּי,nouveaux
חֲזָא,il a vu
חִיוְיָא,un serpent
חַיָּיב,il est condamné/coupable/obligé
חָיְישִׁינַן,on craint
חֲלוּקִין,ils discutent
חַמְרָא,du vin
חֲמָרָא,un âne
חַמְשָׁא,cinq/jeudi
טוּבָא,beaucoup
טוּלָּא,de l'ombre
טַעְמָא מַאי,pour quelle raison...
יְהַב,il a donné
יוֹמָא,jour
יוֹמֵי,des jours
יָכוֹל,on pourrait croire que/il peut
יָשֵׁן,il dort
יָשָׁן,ancien
יָתְבִי,ils étaient assis
יְתֵיב,il était assis
כָּאן,ici
כְּבָר,déjà
כְּגוֹן,par exemple
כִּדְבָעֵי,comme il a demandé/comme il voulait
כְּוָותִי,comme moi (comme mon avis)
כְּוָותֵיהּ,comme lui (comme son avis)
כּוּלֵּי הַאי,tellement
כּוּלֵּי הַאי לָא חָיְישִׁינַן,on ne craint pas tellement
כּוּלֵּי עָלְמָא,tout le monde
כּוּתִי,homme de la tribu des כותים
כּוּתִים,tribu qui était à l'écart du peuple juif/des hommes Kouti
כִּי אֲתָא,quand il est venu
כִּי הַאי גַּוָּונָא,de cette manière
כִּי הֵיכִי,afin que/comme
כֵּיוָן,puisque
כֵּיצַד,comment
כָּל,tous/tout
כֹּל כְּמִינֵּיהּ,est-ce la même chose? (זה בכוחו)
כׇּל שֶׁכֵּן,à plus forte raison
כְּלָל,cela vient inclure/un terme qui inclut/un principe/une généralité/du tout
כַּמָּה,combien
כְּנֶגֶד,par rapport/ face à
כֶּסֶף,de l'argent
כְּשֵׁם,de même (que)
לָא פְּלִיגִי,ils ne discutent pas
לָא קַשְׁיָא,ce n'est pas une question (car...)
לָא שְׁנָא,ça ne change pas
לָאו,n'est-ce pas/interdit/négation
לְאֵיתוֹיֵי מַאי,cela vient inclure quoi?
לְבַסּוֹף,à la fin
לְדִידֵיהּ,pour lui/à lui
לְדִידָךְ,selon toi/pour toi
לְדִידַן,selon nous/pour nous
לֶהֱוֵי,que ce soit
לֵיכָּא,il n'y a pas
לֵילֵי,les nuits
לֵילְיָא,la nuit
לֵימָא,on n'a qu'à dire/peut-être
לֵימָא כְתַנָּאֵי,est-ce que c'est la même discussion que les tanaïm?
לִימֵּד,il a appris
לִישָּׁנָא אַחֲרִינָא,autre version
